2017-09-06T19:16:00.483Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4020,{"ONSince":"1504725259","OnFor":"33","TodayONTime":"3590","TodayConsumed":"18638455"}
2017-09-06T19:16:01.113Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2710,{"ONSince":"1504706176","OnFor":"19184","TodayONTime":"20291","TodayConsumed":"75425314"}
2017-09-06T19:16:02.619Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:16:02.957Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:16:02.985Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4005,{"ONSince":"1504725259","OnFor":"33","TodayONTime":"3590","TodayConsumed":"18638455"}
2017-09-06T19:16:03.554Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2720,{"ONSince":"1504706176","OnFor":"19187","TodayONTime":"20294","TodayConsumed":"75425314"}
2017-09-06T19:16:04.034Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:16:04.485Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:16:04.508Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4010,{"ONSince":"1504725259","OnFor":"33","TodayONTime":"3590","TodayConsumed":"18638455"}
2017-09-06T19:16:05.008Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2730,{"ONSince":"1504706176","OnFor":"19188","TodayONTime":"20295","TodayConsumed":"75425314"}
2017-09-06T19:17:49.380Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4010,{"ONSince":"1504725426","OnFor":"34","TodayONTime":"3624","TodayConsumed":"18719240"}
2017-09-06T19:17:50.634Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:17:50.642Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2725,{"ONSince":"1504706176","OnFor":"19293","TodayONTime":"20400","TodayConsumed":"75428037"}
2017-09-06T19:17:50.884Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4030,{"ONSince":"1504725426","OnFor":"34","TodayONTime":"3624","TodayConsumed":"18719240"}
2017-09-06T19:17:50.975Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:17:52.502Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:17:53.010Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2730,{"ONSince":"1504706176","OnFor":"19296","TodayONTime":"20403","TodayConsumed":"75428037"}
2017-09-06T19:17:53.115Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:17:53.420Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4000,{"ONSince":"1504725426","OnFor":"34","TodayONTime":"3624","TodayConsumed":"18719240"}
2017-09-06T19:17:54.648Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:17:54.904Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,3995,{"ONSince":"1504725426","OnFor":"34","TodayONTime":"3624","TodayConsumed":"18719240"}
2017-09-06T19:17:54.975Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:17:55.581Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2755,{"ONSince":"1504706176","OnFor":"19298","TodayONTime":"20405","TodayConsumed":"75428037"}
2017-09-06T19:17:56.488Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:17:57.226Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:17:57.428Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4030,{"ONSince":"1504725426","OnFor":"34","TodayONTime":"3624","TodayConsumed":"18719240"}
2017-09-06T19:17:58.028Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2725,{"ONSince":"1504706176","OnFor":"19301","TodayONTime":"20408","TodayConsumed":"75430766"}
2017-09-06T19:17:58.745Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:17:58.917Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4025,{"ONSince":"1504725426","OnFor":"34","TodayONTime":"3624","TodayConsumed":"18728177"}
2017-09-06T19:17:59.003Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:17:59.514Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2725,{"ONSince":"1504706176","OnFor":"19302","TodayONTime":"20409","TodayConsumed":"75430766"}
2017-09-06T19:18:00.613Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
